bid,bname,prog_lang,x,x1,x2,x4
208,Learning jQuery: Better Interaction Design and Web Development with Simple JavaScript Techniques,,,,,
209,Instant jQuery Boilerplate for Plugins,,,,,
210,Instant jQuery 2.0 Table Manipulation How-to,,,,,
211,Instant jQuery Drag-and-Drop Grids How-to,,,,,
212,KnockoutJS Essentials,,,,,
213,KnockoutJS by Example,,,,,
214,Web App Testing Using Knockout.JS,,,,,
215,KnockoutJS Blueprints,,,,,
216,KnockoutJS Web Development,,,,,
217,Learning Redux,,,,,
218,Learning Node.js for .NET Developers,,,,,
219,Instant Node.js Starter,,,,,
220,React 17 Design Patterns and Best Practices - Third Edition,,,,,
221,React and React Native - Third Edition,,,,,
222,The React Workshop,,,,,
223,React Material-UI Cookbook,,,,,
224,React Projects,,,,,
225,Learn React Hooks,,,,,
226,React Cookbook,,,,,
227,Beginning React,,,,,
228,React.js Essentials,,,,,
229,MobX Quick Start Guide,,,,,
230,React 16 Tooling,,,,,
231,ReactJS by Example - Building Modern Web Applications with React,,,,,
232,Getting Started with React,,,,,
233,Create React App 2 Quick Start Guide,,,,,
234,React Router Quick Start Guide,,,,,
235,Mastering React,,,,,
236,ReactJS Blueprints,,,,,
237,React 16 Essentials - Second Edition,,,,,
238,Learning Web Development with React and Bootstrap,,,,,
239,Vue.js 3 Cookbook,,,,,
240,Vue.js Quick Start Guide,,,,,
241,Vue.js 2.x by Example,,,,,
242,Vue.js 2 Cookbook,,,,,
243,Vue.js 2 Web Development Projects,,,,,
244,The Majesty Of Vue.js,,,,,
245,Learning Vue.js 2,,,,,
246,ASP.NET Core 2 and Angular 5,,,,,
247,"MongoDB, Express, Angular, and Node.js Fundamentals",,,,,
248,MEAN Web Development - Second Edition,,,,,
249,MEAN Cookbook,,,,,
250,MEAN Blueprints,,,,,
251,MEAN Web Development,,,,,
252,Learning Angular 4 for .NET Developers,,,,,
253,Web Application Development with MEAN,,,,,
254,ASP.NET Core and Angular 2,,,,,
255,Hands-On Full Stack Web Development with Aurelia,,,,,
256,Meteor: Full-Stack Web Application Development,,,,,
257,Web Development with MongoDB and Node.js,,,,,
258,Full Stack Web Development with Raspberry Pi 3,,,,,
259,Hands-On Full Stack Development with Spring Boot 2 and React - Second Edition,,,,,
260,Hands-on Full-Stack Web Development with GraphQL and React,,,,,
261,MERN Quick Start Guide,,,,,
262,Serverless Web Applications with React and Firebase,,,,,
263,JavaScript for .NET Developers,,,,,
264,Full-Stack Web Development with Vue.js and Node,,,,,
265,Full-Stack Vue.js 2 and Laravel 5,,,,,
266,Instant AngularJS Starter,,,,,
267,Mastering Bootstrap 4 - Second Edition,,,,,
268,Bootstrap for ASP.NET MVC - Second Edition,,,,,
269,Bootstrap 4 By Example,,,,,
270,Learning Bootstrap 4 - Second Edition,,,,,
271,Bootstrap 4 Cookbook,,,,,
272,Bootstrap 4 Site Blueprints,,,,,
273,Bootstrap Site Blueprints,,,,,
274,Bootstrap for Rails,,,,,
275,Bootstrap Site Blueprints Volume II,,,,,
276,Responsive Web Design by Example : Beginner's Guide,,,,,
277,Extending Bootstrap,,,,,
278,Web Development with Bootstrap 4 and Angular 2 - Second Edition,,,,,
279,Mobile First Bootstrap,,,,,
280,Django JavaScript Integration: AJAX and jQuery,,,,,
281,jQuery Mobile Web Development Essentials - Second Edition,,,,,
282,Hands-On JavaScript High Performance,,,,,
283,Three.js Essentials,,,,,
284,Server-Side Enterprise Development with Angular,,,,,
285,Beginning Server-Side Application Development with Angular,,,,,
286,Express.js Blueprints,,,,,
287,Mastering Firebase for Android Development,,,,,
288,Liferay Beginner's Guide,,,,,
289,Build Applications with Meteor,,,,,
290,Meteor Cookbook,,,,,
291,Getting Started with Meteor.js JavaScript Framework,,,,,
292,Mastering MeteorJS Application Development,,,,,
293,Instant Meteor JavaScript Framework Starter,,,,,
294,Web Development with MongoDB and NodeJS - Second Edition,,,,,
295,Node.js Web Development - Fifth Edition,,,,,
296,Node Cookbook - Fourth Edition,,,,,
297,Mastering Node.js - Second Edition,,,,,
298,Learning Node.js Development,,,,,
299,Node.js Web Development - Fourth Edition,,,,,
300,Node Cookbook - Third Edition,,,,,
301,Advanced Node.js Development,,,,,
302,Web Development with MongoDB and Node - Third Edition,,,,,
303,Server Side development with Node.js and Koa.js Quick Start Guide,,,,,
304,Node.js Web Development - Third Edition,,,,,
305,Learn Node.js by Building 6 Projects,,,,,
306,Node.js 6.x Blueprints,,,,,
307,Deploying Node.js,,,,,
308,Node Cookbook: Second Edition,,,,,
309,Node.js By Example,,,,,
310,Node Cookbook,,,,,
311,Node Web Development,,,,,
312,Mastering Node.js,,,,,
313,Node.js Blueprints,,,,,
314,Hands-on Nuxt.js Web Development,,,,,
315,Vue CLI 3 Quick Start Guide,,,,,
316,AngularJS UI Development,,,,,
317,Ext JS 4 First Look,,,,,
318,Ext JS 4 Web Application Development Cookbook,,,,,
319,Ext JS 4 Plugin and Extension Development,,,,,
320,Learning Ext JS,,,,,
321,jQuery UI 1.8: The User Interface Library for jQuery,,,,,
322,jQuery UI 1.7: The User Interface Library for jQuery,,,,,
323,Sencha MVC Architecture,,,,,
324,"Sencha Touch Cookbook, Second Edition",,,,,
325,Sencha Architect App Development,,,,,
326,Vue.js: Understanding its Tools and Ecosystem,,,,,
327,Building UIs with Wijmo,,,,,
328,Learning the Yahoo! User Interface library,,,,,
329,Instant Adobe Edge Inspect Starter,,,,,
330,AMP: Building Accelerated Mobile Pages,,,,,
331,Responsive Web Design with AngularJS,,,,,
332,Practical Web Design,,,,,
333,jQuery for Designers Beginner's Guide Second Edition,,,,,
334,Creating Flat Design Websites,,,,,
335,Learning jQuery 1.3,,,,,
336,Learning Less.js,,,,,
337,Getting Started with Ghost,,,,,
338,Building Business Websites with Squarespace 7,,,,,
339,Mastering JavaScript Single Page Application Development,,,,,
340,Mastering AngularJS Directives,,,,,
341,JavaScript : Moving to ES2015,,,,,
342,Babylon.js Essentials,,,,,
343,Getting Started with CreateJS,,,,,
344,Learn D3.js,,,,,
345,Google Apps Script for Beginners,,,,,
346,Mastering Immutable.js,,,,,
347,Practical Web Development,,,,,
348,Learning Behavior-driven Development with JavaScript,,,,,
349,Lo-Dash Essentials,,,,,
350,JavaScript Concurrency,,,,,
351,Modern JavaScript Applications,,,,,
352,JavaScript at Scale,,,,,
353,Full-Stack React Projects - Second Edition,,,,,
354,Isomorphic JavaScript Web Development,,,,,
355,Creating Dynamic UI with Android Fragments,,,,,
356,Android Studio 3.5 Development Essentials - Kotlin Edition,,,,,
357,Android Studio 3.5 Development Essentials - Java Edition,,,,,
358,Android Studio Cookbook,,,,,
359,Mastering Android Studio 3,,,,,
360,Android Wearable Programming,,,,,
361,Android Studio Essentials,,,,,
362,Android Studio 2 Essentials - Second Edition,,,,,
363,Android Studio 4.2 Development Essentials - Java Edition,,,,,
364,Android Studio 4.0 Development Essentials - Java Edition,,,,,
365,Android Wear Projects,,,,,
366,Android System Programming,,,,,
367,Android Development with Kotlin,,,,,
368,Expert Android Programming,,,,,
369,Android Design Patterns and Best Practice,,,,,
370,Hands-On Android UI Development,,,,,
371,Gradle for Android,,,,,
372,Asynchronous Android Programming - Second Edition,,,,,
373,Learning Embedded Android N Programming,,,,,
374,Android Programming for Beginners,,,,,
375,Android Application Programming with OpenCV,,,,,
376,Learning Android Google Maps,,,,,
377,Mastering Android Application Development,,,,,
378,Android 5 Programming by Example,,,,,
379,Learning Android Application Development,,,,,
380,Voice Application Development for Android,,,,,
381,Asynchronous Android,,,,,
382,Android Application Development Cookbook - Second Edition,,,,,
383,Learning Android Application Testing,,,,,
384,Android 4: New Features for Application Development,,,,,
385,Android Application Development with Maven,,,,,
386,Mastering OpenCV Android Application Programming,,,,,
387,Apache Tomcat 7 Essentials,,,,,
388,Tomcat 6 Developer's Guide,,,,,
389,Instant JRebel,,,,,
390,Eclipse Plug-in Development: Beginner's Guide - Second Edition,,,,,
391,Getting Started with Eclipse Juno,,,,,
392,Mastering Eclipse Plug-in Development,,,,,
393,Eclipse 4 Plug-in Development by Example Beginner's Guide,,,,,
394,Java EE 8 Application Development,,,,,
395,Java EE 8 Development with Eclipse - Third Edition,,,,,
396,Java EE 7 Development with NetBeans 8,,,,,
397,Mastering Java EE Development with WildFly,,,,,
398,JDBC 4.0 and Oracle JDeveloper for J2EE Development,,,,,
399,Java EE Development with Eclipse,,,,,
400,Java EE Development with Eclipse - Second Edition,,,,,
401,DWR Java AJAX Applications,,,,,
402,Java EE 7 Developer Handbook,,,,,
403,Java EE 6 Development with NetBeans 7,,,,,
404,Java EE 6 with GlassFish 3 Application Server,,,,,
405,Advanced Java EE Development with WildFly,,,,,
406,Mastering JavaFX 10,,,,,
407,JavaFX 1.2 Application Development Cookbook,,,,,
408,Mastering JBoss Enterprise Application Platform 7,,,,,
409,JBoss: Developer's Guide,,,,,
410,JBoss Tools 3 Developers Guide,,,,,
411,JBoss AS 7 Development,,,,,
412,JBoss Weld CDI for Java Platform,,,,,
413,JBoss Drools Business Rules,,,,,
414,"JBoss AS 7 Configuration, Deployment and Administration",,,,,
415,Liferay 6.x Portal Enterprise Intranets Cookbook,,,,,
416,Liferay Portal 6.2 Enterprise Intranets,,,,,
417,Mastering NetBeans,,,,,
418,NetBeans IDE 7 Cookbook,,,,,
419,Java EE 5 Development with NetBeans 6,,,,,
420,Building SOA-Based Composite Applications Using NetBeans IDE 6,,,,,
421,Oracle ADF 11gR2 Development Beginner's Guide,,,,,
422,Oracle ADF Real World Developer's Guide,,,,,
423,Oracle ADF Enterprise Application Development - Made Simple,,,,,
424,Mastering Spring Boot 2.0,,,,,
425,Spring Boot 2.0 Projects,,,,,
426,Spring Boot 2.0 Cookbook - Second Edition,,,,,
427,Spring 5.0 Projects,,,,,
428,Mastering Spring 5.0,,,,,
429,Spring 5.0 Cookbook,,,,,
430,Spring Data,,,,,
431,Spring 5.0 By Example,,,,,
432,Learn Spring for Android Application Development,,,,,
433,Learning Spring Application Development,,,,,
434,Learning Spring 5.0,,,,,
435,Spring Cookbook,,,,,
436,Instant Spring Tool Suite,,,,,
437,Master Apache JMeter - From Load Testing to DevOps,,,,,
438,Performance Testing with JMeter 2.9,,,,,
439,Mastering Jenkins,,,,,
440,Performance Testing with JMeter 3 - Third Edition,,,,,
441,Apache JMeter,,,,,
442,Mastering Software Testing with JUnit 5,,,,,
443,Mockito Cookbook,,,,,
444,Selenium Framework Design in Data-Driven Testing,,,,,
445,Selenium WebDriver 3 Practical Guide - Second Edition,,,,,
446,Learning Selenium Testing Tools - Third Edition,,,,,
447,Mastering Selenium WebDriver,,,,,
448,Selenium Fundamentals,,,,,
449,Instant Selenium Testing Tools Starter,,,,,
450,Sonar Code Quality Testing Essentials,,,,,
451,TestNG Beginner's Guide,,,,,
452,Learning Apache Apex,,,,,
453,Apache Flume: Distributed Log Collection for Hadoop - Second Edition,,,,,
454,Apache Flume: Distributed Log Collection for Hadoop,,,,,
455,Fast Data Processing with Spark,,,,,
456,Learning Cascading,,,,,
457,Learning Apache Flink,,,,,
458,Data Lake for Enterprises,,,,,
459,Mastering Hadoop 3,,,,,
460,Hadoop MapReduce v2 Cookbook - Second Edition,,,,,
461,Apache Hive Cookbook,,,,,
462,Securing Hadoop,,,,,
463,Hadoop Operations and Cluster Management Cookbook,,,,,
464,Hadoop Essentials,,,,,
465,Hadoop MapReduce Cookbook,,,,,
466,Hadoop: Data Processing and Modelling,,,,,
467,Hadoop Blueprints,,,,,
468,Instant Apache Sqoop,,,,,
469,Apache Kafka Quick Start Guide,,,,,
470,Apache Kafka Cookbook,,,,,
471,Learning Pentaho Data Integration 8 CE - Third Edition,,,,,
472,Learning Pentaho CTools,,,,,
473,Pentaho 8 Reporting for Java Developers,,,,,
474,Mastering Splunk,,,,,
475,Mastering Apache Storm,,,,,
476,Storm Blueprints: Patterns for Distributed Real-time Computation,,,,,
477,Learning Storm,,,,,
478,Real-time Analytics with Storm and Cassandra,,,,,
479,Mastering Apache Cassandra,,,,,
480,Cassandra 3.x High Availability - Second Edition,,,,,
481,Learning HBase,,,,,
482,HBase High Performance Cookbook,,,,,
483,Getting Started with MariaDB - Second Edition,,,,,
484,Neo4j Cookbook,,,,,
485,Oracle ADF Enterprise Application Development - Made Simple (Second Edition),,,,,
486,Oracle Database 11gR2 Performance Tuning Cookbook,,,,,
487,Oracle 10g/11g Data and Database Management Utilities,,,,,
488,Oracle 10g/11g Data and Database Management Utilities: LITE,,,,,
489,Oracle Enterprise Manager Cloud Control 12c: Managing Data Center Chaos,,,,,
490,Oracle SOA Suite 12c Administrator's Guide,,,,,
491,Amazon SimpleDB Developer Guide,,,,,
492,Mastering Apache Cassandra 3.x - Third Edition,,,,,
493,Learning Apache Cassandra,,,,,
494,Mastering Apache Cassandra - Second Edition,,,,,
495,Getting Started with Hazelcast,,,,,
496,MongoDB for Java Developers,,,,,
497,MongoDB Cookbook,,,,,
498,Learning Neo4j 3.x - Second Edition,,,,,
499,Oracle Coherence 3.5,,,,,
500,Oracle Database XE 11gR2 Jump Start Guide,,,,,
501,Oracle 11g Streams Implementer's Guide,,,,,
502,EJB 3.0 Database Persistence with Oracle Fusion Middleware 11g: LITE,,,,,
503,Oracle SOA Suite 11g Developer's Cookbook,,,,,
504,Getting Started with OrientDB,,,,,
505,Elasticsearch 7.0 Cookbook - Fourth Edition,,,,,
506,Advanced Elasticsearch 7.0,,,,,
507,ElasticSearch Cookbook,,,,,
508,ElasticSearch Cookbook - Second Edition,,,,,
509,Elasticsearch Essentials,,,,,
510,Elasticsearch Server - Third Edition,,,,,
511,ElasticSearch Server,,,,,
512,Mastering Elasticsearch 5.x - Third Edition,,,,,
513,Elasticsearch for Hadoop,,,,,
514,Mastering Elasticsearch - Second Edition,,,,,
515,Elasticsearch Server: Second Edition,,,,,
516,Hibernate Search by Example,,,,,
517,Lucene 4 Cookbook,,,,,
518,Mastering Apache Solr 7.x,,,,,
519,Solr Cookbook - Third Edition,,,,,
520,Apache Solr Search Patterns,,,,,
521,Apache Solr Enterprise Search Server - Third Edition,,,,,
522,Apache Solr Beginner�s Guide,,,,,
523,Apache Solr 3.1 Cookbook,,,,,
524,Apache Solr 4 Cookbook,,,,,
525,Solr 1.4 Enterprise Search Server,,,,,
526,Ext GWT 2.0: Beginner's Guide,,,,,
527,GateIn Cookbook,,,,,
528,Grails 1.1 Web Application Development,,,,,
529,Google Web Toolkit 2 Application Development Cookbook,,,,,
530,Mastering Hibernate,,,,,
531,Play Framework Essentials,,,,,
532,Learning Play! Framework 2,,,,,
533,PrimeFaces Beginner's Guide,,,,,
534,PrimeFaces Theme Development,,,,,
535,Seam 2.x Web Development,,,,,
536,Seam 2 Web Development: LITE,,,,,
537,Learning Spring Boot 2.0 - Second Edition,,,,,
538,Spring Boot Cookbook,,,,,
539,Spring Essentials,,,,,
540,Spring Integration Essentials,,,,,
541,Spring Web Flow 2 Web Development,,,,,
542,Spring MVC: Designing Real-World Web Applications,,,,,
543,Building Microservices with Micronaut®,,,,,
544,Java EE 8 Microservices,,,,,
545,Hands-On Microservices - Monitoring and Testing,,,,,
546,Hands-On Enterprise Java Microservices with Eclipse MicroProfile,,,,,
547,Mastering Microservices with Java 9 - Second Edition,,,,,
548,Spring: Microservices with Spring Boot,,,,,
549,Hands-On Microservices with Spring Boot and Spring Cloud,,,,,
550,Microservices Deployment Cookbook,,,,,
551,Building Microservices with Spring,,,,,
552,Spring 5.0 Microservices - Second Edition,,,,,
553,Spring Microservices,,,,,
554,Practical Microservices,,,,,
555,Getting Started with Hazelcast - Second Edition,,,,,
556,Java Programming for Beginners,,,,,
557,Java 7 New Features Cookbook,,,,,
558,Mastering Microservices with Java - Third Edition,,,,,
559,CakePHP Application Development,,,,,
560,FuelPHP Application Development Blueprints,,,,,
561,Laravel Application Development Blueprints,,,,,
562,Yii Application Development Cookbook - Second Edition,,,,,
563,Zend Framework 2 Application Development,,,,,
564,Alfresco Developer Guide,,,,,
565,CMS Made Simple 1.6: Beginner's Guide,,,,,
566,concrete5: Beginner's Guide - Second Edition,,,,,
567,concrete5 Cookbook,,,,,
568,Creating Concrete5 Themes,,,,,
569,Drupal 8 Module Development - Second Edition,,,,,
570,Building Websites with ExpressionEngine 2,,,,,
571,Joomla! 3 Beginner's Guide Second Edition,,,,,
572,Joomla! 3 Template Essentials,,,,,
573,Joomla! 1.5 Multimedia,,,,,
574,Joomla! 1.5 Top Extensions Cookbook,,,,,
575,Mastering Joomla! 1.5 Extension and Framework Development Second Edition,,,,,
576,Learning Joomla! 3 Extension Development-Third Edition,,,,,
577,Joomla! 1.5 Development Cookbook,,,,,
578,Joomla! Accessibility,,,,,
579,ChronoForms 3.1 for Joomla! site Cookbook,,,,,
580,Joomla! 1.5 Template Design,,,,,
581,Joomla! VirtueMart 1.1 Theme and Template Design,,,,,
582,Joomla! 1.5 Development Cookbook: LITE,,,,,
583,Joomla! 1.5 Site Blueprints: LITE,,,,,
584,Joomla! 1.6 First Look,,,,,
585,Joomla! 1.5 Cookbook,,,,,
586,Joomla! 1.5 JavaScript jQuery,,,,,
587,Joomla! 1.5: Beginner's Guide,,,,,
588,Joomla! 1.5 Content Administration,,,,,
589,Joomla! 1.5 SEO,,,,,
590,Joomla! 1.5x Customization: Make Your Site Adapt to Your Needs,,,,,
591,Joomla! E-Commerce with VirtueMart,,,,,
592,Learning Joomla! 1.5 Extension Development,,,,,
593,Building Websites with Joomla! 1.5,,,,,
594,Mastering Joomla! 1.5 Extension and Framework Development,,,,,
595,MediaWiki 1.1 Beginner's Guide,,,,,
596,MediaWiki Skins Design,,,,,
597,PHP 5 CMS Framework Development - 2nd Edition,,,,,
598,"Mastering TypoScript: TYPO3 Website, Template, and Extension Development",,,,,
599,TYPO3 4.3 Multimedia Cookbook,,,,,
600,TYPO3: Enterprise Content Management,,,,,
601,WordPress 5 Complete - Seventh Edition,,,,,
602,WordPress Plugin Development Cookbook - Second Edition,,,,,
603,Learn to Create WordPress Themes by Building 5 Projects,,,,,
604,Wordpress Web Application Development - Third Edition,,,,,
605,Learning WordPress REST API,,,,,
606,WordPress 4.x Complete,,,,,
607,WordPress Complete - Sixth Edition,,,,,
608,WordPress 2.7 Cookbook,,,,,
609,WordPress Web Application Development - Second Edition,,,,,
610,WordPress 2.9 E-Commerce,,,,,
611,WordPress 3.0 jQuery,,,,,
612,WordPress 3 Ultimate Security,,,,,
613,WordPress 2.7 Complete,,,,,
